FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,Date GMT,ID
Work: Self Confidence,120,22222222,Completely confident,A lot,A lot,Completely confident,A lot,,A lot,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Completely confident,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,Completely confident,Completely confident,Completely confident,Completely confident,A lot,Moderate,Completely confident,A little,A lot,29th October 2019 11:54 am,29th October 2019 11:54 am,573
Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,Not confident at all,Moderate,A little,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,A little,Not confident at all,A lot,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,Moderate,A little,Not confident at all,Moderate,A little,29th October 2019 11:53 am,29th October 2019 11:53 am,572
Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,Completely confident,A little,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,Completely confident,Completely confident,9th September 2019 6:27 pm,9th September 2019 6:27 pm,553
Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,A little,A lot,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,A little,A little,22nd August 2019 9:16 am,22nd August 2019 9:16 am,533
Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,Not confident at all,Moderate,A little,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,Moderate,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Not confident at all,Not confident at all,A lot,20th August 2019 9:16 am,20th August 2019 9:16 am,528
Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,Completely confident,A little,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Completely confident,A little,18th August 2019 9:16 am,18th August 2019 9:16 am,523
Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,A little,A lot,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,A little,Completely confident,15th August 2019 9:16 am,15th August 2019 9:16 am,518
Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,Not confident at all,Moderate,A little,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Not confident at all,A little,A little,12th August 2019 9:16 am,12th August 2019 9:16 am,513
Work: Self Confidence,120,46465154,Completely confident,A lot,A lot,Completely confident,Completely confident,A little,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,10th August 2019 9:16 am,10th August 2019 9:16 am,508
Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,A little,A lot,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Completely confident,A little,9th August 2019 9:16 am,9th August 2019 9:16 am,503
Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,Not confident at all,Moderate,A little,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Not confident at all,Moderate,Completely confident,4th August 2019 9:16 am,4th August 2019 9:16 am,498
Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,Completely confident,A little,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,A little,A little,1st August 2019 9:16 am,1st August 2019 9:16 am,493
Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,A little,A lot,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,Not confident at all,A lot,22nd July 2019 9:16 am,22nd July 2019 9:16 am,488
Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,Not confident at all,Moderate,A little,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Not confident at all,A little,A little,20th July 2019 9:16 am,20th July 2019 9:16 am,483
Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,Completely confident,A little,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,A little,Completely confident,18th July 2019 9:16 am,18th July 2019 9:16 am,478
Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,A little,A lot,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,A little,A little,15th July 2019 9:16 am,15th July 2019 9:16 am,473
Work: Self Confidence,120,46465154,Completely confident,A lot,A lot,Completely confident,Not confident at all,Moderate,A little,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Not confident at all,Not confident at all,A lot,12th July 2019 9:16 am,12th July 2019 9:16 am,468
Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,Completely confident,A little,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,A little,A little,10th July 2019 9:16 am,10th July 2019 9:16 am,463
Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,A little,A lot,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,Moderate,Completely confident,9th July 2019 9:16 am,9th July 2019 9:16 am,458
Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,Not confident at all,Moderate,A little,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Not confident at all,Completely confident,A little,4th July 2019 9:16 am,4th July 2019 9:16 am,453
Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,Completely confident,A little,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,A little,A lot,1st July 2019 9:16 am,1st July 2019 9:16 am,448
Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,A little,A lot,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Not confident at all,A little,22nd June 2019 9:16 am,22nd June 2019 9:16 am,443
Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,Not confident at all,Moderate,A little,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Not confident at all,Completely confident,Completely confident,20th June 2019 9:16 am,20th June 2019 9:16 am,438
Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,Completely confident,A little,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,A little,A little,18th June 2019 9:16 am,18th June 2019 9:16 am,433
Work: Self Confidence,120,46465154,Completely confident,A lot,A lot,Completely confident,A little,A lot,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,A little,A lot,15th June 2019 9:16 am,15th June 2019 9:16 am,428
Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,Not confident at all,Moderate,A little,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Not confident at all,Moderate,A little,12th June 2019 9:16 am,12th June 2019 9:16 am,423
Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,Completely confident,A little,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,Completely confident,Completely confident,10th June 2019 9:16 am,10th June 2019 9:16 am,418
Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,A little,A lot,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,Moderate,A little,9th June 2019 9:16 am,9th June 2019 9:16 am,413
Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,Not confident at all,Moderate,A little,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Not confident at all,A little,A lot,4th June 2019 9:16 am,4th June 2019 9:16 am,408
Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,Completely confident,A little,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Not confident at all,A little,1st June 2019 9:16 am,1st June 2019 9:16 am,403
Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,A little,A lot,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,A little,Completely confident,22nd May 2019 9:16 am,22nd May 2019 9:16 am,398
Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,Not confident at all,Moderate,A little,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Not confident at all,A little,A little,20th May 2019 9:16 am,20th May 2019 9:16 am,393
Work: Self Confidence,120,46465154,Completely confident,A lot,A lot,Completely confident,Completely confident,A little,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,A little,A lot,18th May 2019 9:16 am,18th May 2019 9:16 am,388
Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,A little,A lot,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Not confident at all,A little,15th May 2019 9:16 am,15th May 2019 9:16 am,383
Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,Not confident at all,Moderate,A little,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Not confident at all,A little,Completely confident,12th May 2019 9:16 am,12th May 2019 9:16 am,378
Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,Completely confident,A little,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,Moderate,A little,10th May 2019 9:16 am,10th May 2019 9:16 am,373
Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,A little,A lot,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,Completely confident,A lot,9th May 2019 9:16 am,9th May 2019 9:16 am,368
Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,Not confident at all,Moderate,A little,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Not confident at all,A little,A little,4th May 2019 9:16 am,4th May 2019 9:16 am,363
Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,Completely confident,A little,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,Not confident at all,Completely confident,1st May 2019 9:16 am,1st May 2019 9:16 am,358
Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,A little,A lot,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,Completely confident,A little,22nd April 2019 9:16 am,22nd April 2019 9:16 am,353
Work: Self Confidence,120,46465154,Completely confident,A lot,A lot,Completely confident,Not confident at all,Moderate,A little,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Not confident at all,A little,A lot,20th April 2019 9:16 am,20th April 2019 9:16 am,348
Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,Completely confident,A little,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,A little,A little,18th April 2019 9:16 am,18th April 2019 9:16 am,343
Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,A little,A lot,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,Moderate,Completely confident,15th April 2019 9:16 am,15th April 2019 9:16 am,338
Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,Not confident at all,Moderate,A little,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Not confident at all,Completely confident,A little,12th April 2019 9:16 am,12th April 2019 9:16 am,333
Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,Completely confident,A little,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,10th April 2019 9:16 am,10th April 2019 9:16 am,328
Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,A little,A lot,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,A little,A little,9th April 2019 9:16 am,9th April 2019 9:16 am,323
Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,Not confident at all,Moderate,A little,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Not confident at all,Not confident at all,Completely confident,4th April 2019 9:16 am,4th April 2019 9:16 am,318
Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,Completely confident,A little,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,A little,A little,1st April 2019 9:16 am,1st April 2019 9:16 am,313
